"","Y89Di","Pd102Di","Rh103Di","Pd104Di","Pd105Di","Pd106Di","Pd108Di","Pd110Di","In113Di","In115Di","Ba138Di","La139Di","Ce140Di","Pr141Di","Nd142Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Eu151Di","Sm152Di","Eu153Di","Sm154Di","Gd155Di","Gd156Di","Gd157Di","Gd158Di","Tb159Di","Gd160Di","Dy161Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Er168Di","Tm169Di","Er170Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Lu175Di","Yb176Di","Ir191Di","Ir193Di","Pt195Di","Pt196Di","Pb208Di"
"La139Di",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141283515141522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pr141Di",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184093157526978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd142Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003286043624339,0.00147851645537088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170631241218396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd143Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757425526974849,1,0.0201503724667224,0.00107705035338011,0.000755592918838125,0,0,0,0,0,0,0,0,0,0,0,0,0.0174280736632324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd144Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159560220692805,0.00262537883216042,1,0.0154551595949256,0.00399876322231333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184103571374538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd145Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000576261381842925,0,0.0104150313327273,1,0.0395926947055957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185598560511594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd146Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151160509881323,0.00100891091620554,1,0,0.00103802218702307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187511830701027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm147Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015,0.00446495304711859,0.000593807595040583,0,0.00295413388668559,0,0.00176992501544401,0,0,0,0,0,0,0,0,0.00437210839500661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd148Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127504174353204,0.00781376127178527,0.0153964193014173,0.00484795673623049,0.0167642696392231,0,1,0,0.0136855885234114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01627106817958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm149Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000737343413929478,0.00703893673387132,1,0.0159829297383678,0,0.00332350863930965,0,0.00143248807232082,0,0,0,0,0,0,0,0,0,0,0.00374360792864451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd150Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180872776949456,0.000354803926662874,0.00344970865520957,0,0.00178347314934003,0,0.000609574470061027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132759692629561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eu151Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00795780040686699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm152Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213591682862651,0.000439916644334792,0.000735331385435492,0,1,2.06539095906637e-05,0.00656916105799537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257653072380335,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eu153Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616241539842856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sm154Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564086197093154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181482747284539,0,0,0,0,0,0,0,0,0,0,0
"Gd155Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000741127376345975,0.000220208411657199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444441663181943,0,0,0,0,0,0,0,0,0,0
"Gd156Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826748048355775,1,0.027568450594175,0.00760219718097266,0,0.0015100759510888,0,0,0,0,0,0,0,0,0,0,0,0.00403232574450599,0,0,0,0,0,0,0,0,0
"Gd158Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146762343374242,0.00938581444810705,1,0,0.00565344154806391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356426580666391,0,0,0,0,0,0,0
"Tb159Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.29394628391532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00330922568492278,0,0,0,0,0,0
"Gd160Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000350277683440901,0.000441921587859946,0.00550943967906825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314476021162668,0,0,0,0,0
"Dy161Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176417641741486,1,0.0270338466706603,0.00670194661944547,0.00296572035991635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy162Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156618391600724,1,0.015,0.00669266128077966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy163Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275703097035609,0.0119444401966022,1,0.0162378784106607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy164Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492476561876559,0.00791777901495035,0.0290438432261337,1,0.000401661673565761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ho165Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000148463071196656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Er166Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0142314250363997,0.00270906817825841,0,3.81681463554606e-05,0,0,0,0,0,0,0,0,0,0,0
"Er167Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132710730606616,1,0.0340856251792155,0,0.000631803209437255,0,0,0,0,0,0,0,0,0,0,0
"Er168Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418313839824357,1,0,0.000454672643794202,0,0,0,0,0,0,0,0,0,0,0
"Tm169Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46386781139431e-05,1,0.000673985160309445,0,0,0,0,0,0,0,0,0,0,0
"Er170Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071239484674377,0.00505553076747151,0.00975340022579304,0.00013974299426687,1,0.000646450306833828,0,0,0,0,0,0,0,0,0,0
"Yb171Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103300811750851,1,0.02,0.00207386160188625,0.00229259512896119,0,0.000114606325287778,0,0,0,0,0
"Yb172Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1,0.018,0.0101872091248741,0,0.018,0,0,0,0,0
"Yb173Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267237835164665,0.008,1,0.02,0,0.00197543242436149,0,0,0,0,0
"Yb174Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138195602364694,0,1,0.000275523973341152,0,0,0,0,0,0
"Lu175Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00335968442269222,0.00338880399404367,0,0,0,0
"Yb176Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.004,0.000254108581505487,1,0,0,0,0,0
